id	message
2FA_CONFIRM_WAIT_X	A wait of {value} seconds is required because this account is active and protected by a 2FA password
FLOOD_TEST_PHONE_WAIT_X	A wait of {value} seconds is required in the test servers
FLOOD_WAIT_X	A wait of {value} seconds is required
PREMIUM_SUB_ACTIVE_UNTIL_X	A wait of {value} seconds is required
SLOWMODE_WAIT_X	A wait of {value} seconds is required to send messages in this chat
STORY_SEND_FLOOD_X	A wait of {value} seconds is required to continue posting stories
TAKEOUT_INIT_DELAY_X	You have to confirm the data export request using one of your mobile devices or wait {value} seconds
